ID,Title,Type,URL,Week ID,Week Number,Notes
149,How to Build an Impressive GitHub Profile,article,https://www.freecodecamp.org/news/how-to-build-an-impressive-github-profile/,55,63,Ensure completeness
150,Loom storytelling tips,video,https://www.loom.com/blog,55,63,Record engaging clips
151,Reference letter template,template,https://www.indeed.com/career-advice/,55,63,Consistent requests
152,Embedded systems interview questions repo,repo,https://github.com/search?q=embedded+systems+interview,56,64,Practice prompts
153,Interviewing.io firmware sessions,platform,https://interviewing.io/,56,64,Mock interviews
154,STAR storytelling workbook,worksheet,https://www.themuse.com/advice/star-interview-method,56,64,Craft narratives
155,Zephyr contributing guide,docs,https://docs.zephyrproject.org/latest/contribute/index.html,57,65,Follow PR etiquette
156,Write the Docs talk tips,article,https://www.writethedocs.org/conf/,57,65,Talk preparation
157,Open source leadership guide,guide,https://opensource.guide/leadership-and-governance/,57,65,Structure mentorship
158,Final demo checklist,checklist,https://www.atlassian.com/team-playbook,58,66,No surprises
159,Retrospective celebration ideas,article,https://www.atlassian.com/agile/teamwork/team-celebrations,58,66,Mark the milestone
160,Gratitude writing guide,guide,https://www.grammarly.com/blog/,58,66,Thoughtful thank-yous
161,Networking outreach templates,article,https://www.themuse.com/advice,59,67,Tailor messages
162,Career-focused retro template,worksheet,https://www.notion.so/templates/,59,67,Guide reflection
163,Continuous learning plan guide,article,https://www.linkedin.com/learning/topics/learning-and-development,59,67,Plan next steps
164,Practical Electronics for Inventors (4th Ed) - Paul Scherz,other,https://www.amazon.com/Practical-Electronics-Inventors-Fourth-Scherz/dp/1259587541,1,1,Essential reference for electronics fundamentals
165,The Art of Electronics (3rd Ed) - Horowitz & Hill,other,https://www.amazon.com/Art-Electronics-Paul-Horowitz/dp/0521809266,1,1,The bible of electronics - comprehensive reference
166,The C Programming Language (K&R) - Kernighan & Ritchie,other,https://www.amazon.com/Programming-Language-2nd-Brian-Kernighan/dp/0131103628,3,3,The definitive C language book by its creators
167,Embedded C Coding Standard (Barr Group - Amazon),other,https://www.amazon.in/Embedded-Coding-Standard-Michael-Barr/dp/1442164824,3,3,Industry coding standards for embedded C
168,Definitive Guide to ARM Cortex-M3/M4 - Joseph Yiu,other,https://www.amazon.com/Definitive-Guide-ARM-Cortex-M3/dp/0124080820,5,5,Essential ARM Cortex-M architecture reference
169,Mastering STM32 (2nd Ed) - Carmine Noviello,other,https://leanpub.com/mastering-stm32-2nd,5,5,Comprehensive STM32 development guide
170,Making Embedded Systems - Elecia White,other,https://www.amazon.com/Making-Embedded-Systems-Patterns-Software/dp/1098151542,7,8,Design patterns for embedded software
171,Designing Embedded Hardware - John Catsoulis,other,https://www.amazon.com/Designing-Embedded-Hardware-John-Catsoulis/dp/0596007558,15,16,Hardware design for embedded systems
172,Real-Time Concepts for Embedded Systems - Qing Li,other,https://www.amazon.com/Real-Time-Concepts-Embedded-Systems-Li/dp/1578201241,20,21,RTOS fundamentals and real-time programming
173,TinyML - Pete Warden & Daniel Situnayake,other,https://www.amazon.com/TinyML-Learning-TensorFlow-Ultra-Low-Micro-Controllers/dp/1492052043,35,38,Machine learning on microcontrollers
174,Embedded Systems Security - David Kleidermacher,other,https://www.amazon.com/Embedded-Systems-Security-Practical-Approaches/dp/1493939939,25,26,Security for embedded systems
175,The Linux Command Line (2nd Ed) - William Shotts,other,https://www.amazon.com/Linux-Command-Line-Complete-Introduction/dp/1593279523,30,31,Essential Linux command line reference
176,AUTOSAR Official Documentation,docs,https://www.autosar.org/standards,61,?,
177,AUTOSAR Tutorial - Vector,video,https://www.vector.com/int/en/know-how/autosar/,61,?,
178,EB Tresos Studio (Free Eval),tool,https://www.elektrobit.com/products/ecu/eb-tresos/studio/,61,?,
179,DSP Fundamentals for Embedded,video,https://www.youtube.com/playlist?list=PLUMWjy5jgHK1NC52DXXrriwihVrYZKqjk,39,42,
180,FFT Explained Simply,article,https://www.dspguide.com/ch12.htm,39,42,
181,Digital Filters Primer,article,https://www.analog.com/en/design-center/landing-pages/001/beginners-guide-to-dsp.html,39,42,
182,FreeRTOS Kernel Book (Official),docs,https://www.freertos.org/Documentation/RTOS_book.html,16,17,
183,FreeRTOS vs Zephyr,article,https://zephyrproject.org/zephyr-vs-freertos/,16,17,
184,USB in a NutShell,article,https://www.beyondlogic.org/usbnutshell/usb1.shtml,62,36,
185,LwIP Wiki,docs,https://sysprogs.com/VisualGDB/tutorials/stm32/lwip/,63,37,
186,Linux Device Drivers 3 (LDD3),book,https://lwn.net/Kernel/LDD3/,64,49,
187,Device Tree Usage Guide (eLinux),docs,https://elinux.org/Device_Tree_Usage,66,?,
188,Yocto Project Quick Build,docs,https://docs.yoctoproject.org/brief-yoctoprojectqs/index.html,67,51,
189,AUTOSAR Official Documentation,docs,https://www.autosar.org/standards,69,45,
190,AUTOSAR Tutorial - Vector,video,https://www.vector.com/int/en/know-how/autosar/,69,45,
191,EB Tresos Studio (Free Eval),tool,https://www.elektrobit.com/products/ecu/eb-tresos/studio/,69,45,
192,ARM Assembly Tutorial,article,https://azeria-labs.com/writing-arm-assembly-part-1/,70,7,
193,ARM Assembly Cheatsheet,docs,https://developer.arm.com/documentation/dui0489/latest/arm-and-thumb-instructions/instruction-summary,70,7,
194,ARM Cortex-M Programmer's Model,docs,https://developer.arm.com/documentation/dui0553/latest/,70,7,
195,HDLBits - Interactive Verilog,course,https://hdlbits.01xz.net/wiki/Main_Page,71,68,
196,SystemVerilog Tutorial,article,https://www.chipverify.com/systemverilog/systemverilog-tutorial,71,68,
197,Verilator Intro,tool,https://verilator.org/guide/latest/,71,68,
198,The Embedded Rust Book,book,https://docs.rust-embedded.org/book/,72,69,
199,Discovery Book (STM32),book,https://docs.rust-embedded.org/discovery/,72,69,
200,probe-rs Debugger,tool,https://probe.rs/,72,69,
201,embassy Async Framework,repo,https://embassy.dev/,72,69,
202,Fixed-Point Arithmetic Tutorial,article,https://www.superkits.net/whitepapers/Fixed%20Point%20Representation%20&%20Fractional%20Math.pdf,73,70,
203,CMSIS-DSP Library,docs,https://arm-software.github.io/CMSIS-DSP/main/index.html,73,70,
204,PID Controller Tutorial,video,https://www.youtube.com/watch?v=wkfEZmsQqiA,73,70,
205,The Scientist and Engineer's Guide to DSP,book,https://www.dspguide.com/,73,70,
206,Lock-Free Ring Buffer Implementation,article,https://www.snellman.net/blog/archive/2016-12-13-ring-buffers/,73,70,
