ID,Title,Description,AI Prompt,Day ID,Day Number,Week ID,Week Number,Hour Number,Status,Estimated Hours
24,Power-supply troubleshooting drills (Segment 3/4),"Model buck/boost regulators, calculate ripple, and simulate load steps using LTspice or Falstad.","Given regulator parameters, estimate safe output ripple for STM32 analog rails.",10,3,2,2,9,pending,1.1166666666666667
25,Power-supply troubleshooting drills (Segment 4/4),"Model buck/boost regulators, calculate ripple, and simulate load steps using LTspice or Falstad.","Given regulator parameters, estimate safe output ripple for STM32 analog rails.",10,3,2,2,10,pending,1.1166666666666667
26,Weekly review & debugging retro (Segment 1/4),"Spend Sunday running QEMU/GDB dry-runs of simple C firmware that prints computed voltages, logging any bugs plus AI advice in Notion.",Audit my review notes and propose follow-up drills for weak electronics areas.,11,4,2,2,11,pending,0.8833333333333333
27,Weekly review & debugging retro (Segment 2/4),"Spend Sunday running QEMU/GDB dry-runs of simple C firmware that prints computed voltages, logging any bugs plus AI advice in Notion.",Audit my review notes and propose follow-up drills for weak electronics areas.,11,4,2,2,12,pending,0.8833333333333333
28,Weekly review & debugging retro (Segment 3/4),"Spend Sunday running QEMU/GDB dry-runs of simple C firmware that prints computed voltages, logging any bugs plus AI advice in Notion.",Audit my review notes and propose follow-up drills for weak electronics areas.,11,4,2,2,13,pending,0.8666666666666667
29,Weekly review & debugging retro (Segment 4/4),"Spend Sunday running QEMU/GDB dry-runs of simple C firmware that prints computed voltages, logging any bugs plus AI advice in Notion.",Audit my review notes and propose follow-up drills for weak electronics areas.,11,4,2,2,14,pending,0.8666666666666667
30,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,12,5,2,2,15,pending,0.75
31,Weekly integration & portfolio review,"Summarize lessons, sync repos, publish status update.","Summarize takeaways, log blockers, and queue AI prompts for next sprint in Notion.",13,6,2,2,16,pending,2.0
32,Truth tables → Logisim simulations (Segment 1/5),"Model combinational circuits (encoders, multiplexers and adders) in Logisim, exporting timing diagrams with annotations.",Review my Logisim design files; point out hazards or redundant gates.,15,1,3,3,1,pending,1.0
33,Truth tables → Logisim simulations (Segment 2/5),"Model combinational circuits (encoders, multiplexers and adders) in Logisim, exporting timing diagrams with annotations.",Review my Logisim design files; point out hazards or redundant gates.,15,1,3,3,2,pending,1.0
34,Truth tables → Logisim simulations (Segment 3/5),"Model combinational circuits (encoders, multiplexers and adders) in Logisim, exporting timing diagrams with annotations.",Review my Logisim design files; point out hazards or redundant gates.,15,1,3,3,3,pending,1.0
35,Truth tables → Logisim simulations (Segment 4/5),"Model combinational circuits (encoders, multiplexers and adders) in Logisim, exporting timing diagrams with annotations.",Review my Logisim design files; point out hazards or redundant gates.,15,1,3,3,4,pending,1.0
36,Truth tables → Logisim simulations (Segment 5/5),"Model combinational circuits (encoders, multiplexers and adders) in Logisim, exporting timing diagrams with annotations.",Review my Logisim design files; point out hazards or redundant gates.,16,2,3,3,5,pending,1.0
37,FSM practice in C (Segment 1/4),Implement 4-bit adder and elevator FSMs in pure C and run them under QEMU/VS Code tests.,Explain whether my FSM encoding is Moore or Mealy and optimize for readability.,16,2,3,3,6,pending,1.1333333333333333
38,FSM practice in C (Segment 2/4),Implement 4-bit adder and elevator FSMs in pure C and run them under QEMU/VS Code tests.,Explain whether my FSM encoding is Moore or Mealy and optimize for readability.,16,2,3,3,7,pending,1.1333333333333333
39,FSM practice in C (Segment 3/4),Implement 4-bit adder and elevator FSMs in pure C and run them under QEMU/VS Code tests.,Explain whether my FSM encoding is Moore or Mealy and optimize for readability.,17,3,3,3,8,pending,1.1166666666666667
40,FSM practice in C (Segment 4/4),Implement 4-bit adder and elevator FSMs in pure C and run them under QEMU/VS Code tests.,Explain whether my FSM encoding is Moore or Mealy and optimize for readability.,17,3,3,3,9,pending,1.1166666666666667
41,Signal integrity primer (Segment 1/4),"Study rise/fall times, metastability, and debouncing using Saleae captures plus simulated noise.","Given recorded traces, highlight metastability risks and suggest synchronization tactics.",17,3,3,3,10,pending,0.8833333333333333
42,Signal integrity primer (Segment 2/4),"Study rise/fall times, metastability, and debouncing using Saleae captures plus simulated noise.","Given recorded traces, highlight metastability risks and suggest synchronization tactics.",17,3,3,3,11,pending,0.8833333333333333
43,Signal integrity primer (Segment 3/4),"Study rise/fall times, metastability, and debouncing using Saleae captures plus simulated noise.","Given recorded traces, highlight metastability risks and suggest synchronization tactics.",18,4,3,3,12,pending,0.8666666666666667
44,Signal integrity primer (Segment 4/4),"Study rise/fall times, metastability, and debouncing using Saleae captures plus simulated noise.","Given recorded traces, highlight metastability risks and suggest synchronization tactics.",18,4,3,3,13,pending,0.8666666666666667
45,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,19,5,3,3,14,pending,0.75
46,Weekly integration & portfolio review,"Summarize lessons, sync repos, publish status update.","Summarize takeaways, log blockers, and queue AI prompts for next sprint in Notion.",20,6,3,3,15,pending,2.0
47,Pipeline & memory map explorations (Segment 1/4),CRITICAL for L476RG: The L4 series starts at 4MHz MSI. Learn to configure PLL to boost to 80MHz. Wrong clock = wrong UART baud/timing.,Generate code to configure STM32L476 from 4MHz MSI to 80MHz using PLL. Explain each RCC register setting.,22,1,4,4,1,pending,1.5
48,Pipeline & memory map explorations (Segment 2/4),"Compare AVR vs. Cortex-M core diagrams, map flash/ SRAM/CCM regions, and document boot/reset flows.",Explain how my annotated memory maps influence interrupt latency on STM32 vs. ESP32.,22,1,4,4,2,pending,1.1333333333333333
49,Pipeline & memory map explorations (Segment 3/4),"Compare AVR vs. Cortex-M core diagrams, map flash/ SRAM/CCM regions, and document boot/reset flows.",Explain how my annotated memory maps influence interrupt latency on STM32 vs. ESP32.,22,1,4,4,3,pending,1.1333333333333333
50,Pipeline & memory map explorations (Segment 4/4),"Install PlatformIO, STM32CubeIDE, and ESP-IDF CLI; flash sample firmware to UNO/ESP32/STM32 and log GDB commands used.",Suggest better GDB macros or VS Code tasks for my bring-up workflow.,23,2,4,4,4,pending,0.9166666666666666
51,Toolchain and debugger drills (Segment 1/6),"Install PlatformIO, STM32CubeIDE, and ESP-IDF CLI; flash sample firmware to UNO/ESP32/STM32 and log GDB commands used.",Suggest better GDB macros or VS Code tasks for my bring-up workflow.,23,2,4,4,5,pending,0.9166666666666666
52,Toolchain and debugger drills (Segment 2/6),"Install PlatformIO, STM32CubeIDE, and ESP-IDF CLI; flash sample firmware to UNO/ESP32/STM32 and log GDB commands used.",Suggest better GDB macros or VS Code tasks for my bring-up workflow.,23,2,4,4,6,pending,0.9166666666666666
53,Toolchain and debugger drills (Segment 3/6),"Install PlatformIO, STM32CubeIDE, and ESP-IDF CLI; flash sample firmware to UNO/ESP32/STM32 and log GDB commands used.",Suggest better GDB macros or VS Code tasks for my bring-up workflow.,23,2,4,4,7,pending,0.9166666666666666
54,Toolchain and debugger drills (Segment 4/6),"Install PlatformIO, STM32CubeIDE, and ESP-IDF CLI; flash sample firmware to UNO/ESP32/STM32 and log GDB commands used.",Suggest better GDB macros or VS Code tasks for my bring-up workflow.,24,3,4,4,8,pending,0.9166666666666666
55,Toolchain and debugger drills (Segment 5/6),"Install PlatformIO, STM32CubeIDE, and ESP-IDF CLI; flash sample firmware to UNO/ESP32/STM32 and log GDB commands used.",Suggest better GDB macros or VS Code tasks for my bring-up workflow.,24,3,4,4,9,pending,0.9166666666666666
56,Toolchain and debugger drills (Segment 6/6),"Install PlatformIO, STM32CubeIDE, and ESP-IDF CLI; flash sample firmware to UNO/ESP32/STM32 and log GDB commands used.",Suggest better GDB macros or VS Code tasks for my bring-up workflow.,24,3,4,4,10,pending,0.9166666666666666
57,Dual-boot workstation optimization (Segment 1/4),"Tune BIOS/firmware, configure Ubuntu + Windows dev environments, and document GPU/QEMU setups.",Review my dual-boot checklist; point out missing power/performance tweaks.,24,3,4,4,11,pending,1.0
58,Dual-boot workstation optimization (Segment 2/4),"Tune BIOS/firmware, configure Ubuntu + Windows dev environments, and document GPU/QEMU setups.",Review my dual-boot checklist; point out missing power/performance tweaks.,25,4,4,4,12,pending,1.0
59,Dual-boot workstation optimization (Segment 3/4),"Tune BIOS/firmware, configure Ubuntu + Windows dev environments, and document GPU/QEMU setups.",Review my dual-boot checklist; point out missing power/performance tweaks.,25,4,4,4,13,pending,1.0
60,Dual-boot workstation optimization (Segment 4/4),"Tune BIOS/firmware, configure Ubuntu + Windows dev environments, and document GPU/QEMU setups.",Review my dual-boot checklist; point out missing power/performance tweaks.,25,4,4,4,14,pending,1.0
61,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,26,5,4,4,15,pending,0.75
62,Weekly integration & portfolio review,"Summarize lessons, sync repos, publish status update.","Summarize takeaways, log blockers, and queue AI prompts for next sprint in Notion.",27,6,4,4,16,pending,2.0
63,Daily syntax/code-drill block (Segment 1/5),"Follow the edX UC Santa Cruz 'C for Embedded' track, solving two exercises nightly and logging takeaways in VS Code snippets.",Review my loop/pointer implementations and suggest clearer idioms for embedded targets.,29,1,5,5,1,pending,1.0
64,Daily syntax/code-drill block (Segment 2/5),"Follow the edX UC Santa Cruz 'C for Embedded' track, solving two exercises nightly and logging takeaways in VS Code snippets.",Review my loop/pointer implementations and suggest clearer idioms for embedded targets.,29,1,5,5,2,pending,1.0
65,Daily syntax/code-drill block (Segment 3/5),"Follow the edX UC Santa Cruz 'C for Embedded' track, solving two exercises nightly and logging takeaways in VS Code snippets.",Review my loop/pointer implementations and suggest clearer idioms for embedded targets.,29,1,5,5,3,pending,1.0
66,Daily syntax/code-drill block (Segment 4/5),"Follow the edX UC Santa Cruz 'C for Embedded' track, solving two exercises nightly and logging takeaways in VS Code snippets.",Review my loop/pointer implementations and suggest clearer idioms for embedded targets.,29,1,5,5,4,pending,1.0
67,Daily syntax/code-drill block (Segment 5/5),"Follow the edX UC Santa Cruz 'C for Embedded' track, solving two exercises nightly and logging takeaways in VS Code snippets.",Review my loop/pointer implementations and suggest clearer idioms for embedded targets.,30,2,5,5,5,pending,1.0
68,HackerRank C streak (Segment 1/4),"Complete 15 easy challenges this week focusing on arrays, strings, and structs relevant to MCUs.",Provide hints for optimizing my HackerRank buffer parsing solutions without dynamic allocation.,30,2,5,5,6,pending,1.0
69,HackerRank C streak (Segment 2/4),"Complete 15 easy challenges this week focusing on arrays, strings, and structs relevant to MCUs.",Provide hints for optimizing my HackerRank buffer parsing solutions without dynamic allocation.,30,2,5,5,7,pending,1.0
70,HackerRank C streak (Segment 3/4),"Complete 15 easy challenges this week focusing on arrays, strings, and structs relevant to MCUs.",Provide hints for optimizing my HackerRank buffer parsing solutions without dynamic allocation.,30,2,5,5,8,pending,1.0
71,HackerRank C streak (Segment 4/4),"Complete 15 easy challenges this week focusing on arrays, strings, and structs relevant to MCUs.",Provide hints for optimizing my HackerRank buffer parsing solutions without dynamic allocation.,31,3,5,5,9,pending,1.0
72,Notion knowledge template build-out (Segment 1/4),Create reusable pages (Concept | Formula | Example | Embedded Tie-In | AI Prompt) for C patterns.,Critique my Notion template for documenting C idioms; propose missing metadata.,31,3,5,5,10,pending,0.8833333333333333
73,Notion knowledge template build-out (Segment 2/4),Create reusable pages (Concept | Formula | Example | Embedded Tie-In | AI Prompt) for C patterns.,Critique my Notion template for documenting C idioms; propose missing metadata.,31,3,5,5,11,pending,0.8833333333333333
74,Notion knowledge template build-out (Segment 3/4),Create reusable pages (Concept | Formula | Example | Embedded Tie-In | AI Prompt) for C patterns.,Critique my Notion template for documenting C idioms; propose missing metadata.,31,3,5,5,12,pending,0.8666666666666667
75,Notion knowledge template build-out (Segment 4/4),Create reusable pages (Concept | Formula | Example | Embedded Tie-In | AI Prompt) for C patterns.,Critique my Notion template for documenting C idioms; propose missing metadata.,32,4,5,5,13,pending,0.8666666666666667
76,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,33,5,5,5,14,pending,0.75
77,Weekly integration & portfolio review,"Summarize lessons, sync repos, publish status update.","Summarize takeaways, log blockers, and queue AI prompts for next sprint in Notion.",34,6,5,5,15,pending,2.0
78,Pointer gym & allocator simulator (Segment 1/5),"Implement a mini heap/stack visualizer in C, run it under Valgrind, and screenshot leaks/fixes.",Show me why my allocator approach might fragment memory on small MCUs.,36,1,6,6,1,pending,1.0
79,Pointer gym & allocator simulator (Segment 2/5),"Implement a mini heap/stack visualizer in C, run it under Valgrind, and screenshot leaks/fixes.",Show me why my allocator approach might fragment memory on small MCUs.,36,1,6,6,2,pending,1.0
80,Pointer gym & allocator simulator (Segment 3/5),"Implement a mini heap/stack visualizer in C, run it under Valgrind, and screenshot leaks/fixes.",Show me why my allocator approach might fragment memory on small MCUs.,36,1,6,6,3,pending,1.0
81,Pointer gym & allocator simulator (Segment 4/5),"Implement a mini heap/stack visualizer in C, run it under Valgrind, and screenshot leaks/fixes.",Show me why my allocator approach might fragment memory on small MCUs.,36,1,6,6,4,pending,1.0
82,Pointer gym & allocator simulator (Segment 5/5),"Implement a mini heap/stack visualizer in C, run it under Valgrind, and screenshot leaks/fixes.",Show me why my allocator approach might fragment memory on small MCUs.,37,2,6,6,5,pending,1.0
83,Bit manipulation + register maps (Segment 1/4),"Practice volatile/bitfield tricks by modeling GPIO registers for UNO + STM32, ensuring MISRA safety.",Validate my bitfield macros and flag undefined behavior risks.,37,2,6,6,6,pending,1.1333333333333333
84,Bit manipulation + register maps (Segment 2/4),"Practice volatile/bitfield tricks by modeling GPIO registers for UNO + STM32, ensuring MISRA safety.",Validate my bitfield macros and flag undefined behavior risks.,37,2,6,6,7,pending,1.1333333333333333
85,Bit manipulation + register maps (Segment 3/4),"Practice volatile/bitfield tricks by modeling GPIO registers for UNO + STM32, ensuring MISRA safety.",Validate my bitfield macros and flag undefined behavior risks.,38,3,6,6,8,pending,1.1166666666666667
86,Bit manipulation + register maps (Segment 4/4),"Practice volatile/bitfield tricks by modeling GPIO registers for UNO + STM32, ensuring MISRA safety.",Validate my bitfield macros and flag undefined behavior risks.,38,3,6,6,9,pending,1.1166666666666667
87,ISR basics & latency drills (Segment 1/4),"Write mock ISRs in C, test them with QEMU timers, and document prologue/epilogue considerations.",Assess my ISR skeletons for reentrancy and stack usage problems.,38,3,6,6,10,pending,0.8833333333333333
88,ISR basics & latency drills (Segment 2/4),"Write mock ISRs in C, test them with QEMU timers, and document prologue/epilogue considerations.",Assess my ISR skeletons for reentrancy and stack usage problems.,38,3,6,6,11,pending,0.8833333333333333
89,ISR basics & latency drills (Segment 3/4),"Write mock ISRs in C, test them with QEMU timers, and document prologue/epilogue considerations.",Assess my ISR skeletons for reentrancy and stack usage problems.,39,4,6,6,12,pending,0.8666666666666667
90,ISR basics & latency drills (Segment 4/4),"Write mock ISRs in C, test them with QEMU timers, and document prologue/epilogue considerations.",Assess my ISR skeletons for reentrancy and stack usage problems.,39,4,6,6,13,pending,0.8666666666666667
91,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,40,5,6,6,14,pending,0.75
92,Weekly integration & portfolio review,"Summarize lessons, sync repos, publish status update.","Summarize takeaways, log blockers, and queue AI prompts for next sprint in Notion.",41,6,6,6,15,pending,2.0
93,Catch up on incomplete tasks,Review and complete any tasks that fell behind schedule. No new content - focus on mastery.,,,N/A,7,8,,pending,5.0
94,Refactor and document code,"Clean up code from previous weeks, add comments, improve structure.",,,N/A,7,8,,pending,4.0
95,Portfolio documentation update,"Update portfolio with completed projects, screenshots, and learnings.",,,N/A,7,8,,pending,3.0
96,Knowledge consolidation & notes review,"Review notes, create summary documents, fill knowledge gaps.",,,N/A,7,8,,pending,2.0
97,Bit-banged UART and baud calculators (Segment 1/4),"Write a software UART for STM32/ESP32, verify it under QEMU + Saleae, and compare against hardware UART timing.",Check my UART timing math and suggest guardrails for clock drift.,43,1,8,9,1,pending,1.1333333333333333
98,Bit-banged UART and baud calculators (Segment 2/4),"Write a software UART for STM32/ESP32, verify it under QEMU + Saleae, and compare against hardware UART timing.",Check my UART timing math and suggest guardrails for clock drift.,43,1,8,9,2,pending,1.1333333333333333
99,Bit-banged UART and baud calculators (Segment 3/4),"Write a software UART for STM32/ESP32, verify it under QEMU + Saleae, and compare against hardware UART timing.",Check my UART timing math and suggest guardrails for clock drift.,43,1,8,9,3,pending,1.1166666666666667
100,Bit-banged UART and baud calculators (Segment 4/4),"Write a software UART for STM32/ESP32, verify it under QEMU + Saleae, and compare against hardware UART timing.",Check my UART timing math and suggest guardrails for clock drift.,44,2,8,9,4,pending,1.1166666666666667
101,I2C/SPI lab book (Segment 1/4),"Set up UNO + ESP32 sensor chains, capture logic analyzer traces, and annotate addressing, ACK/NACK behavior, and DMA interactions.",Analyze my Saleae captures; point out bus contentions or pull-up issues.,44,2,8,9,5,pending,1.1333333333333333
102,I2C/SPI lab book (Segment 2/4),"Set up UNO + ESP32 sensor chains, capture logic analyzer traces, and annotate addressing, ACK/NACK behavior, and DMA interactions.",Analyze my Saleae captures; point out bus contentions or pull-up issues.,44,2,8,9,6,pending,1.1333333333333333
103,I2C/SPI lab book (Segment 3/4),"Set up UNO + ESP32 sensor chains, capture logic analyzer traces, and annotate addressing, ACK/NACK behavior, and DMA interactions.",Analyze my Saleae captures; point out bus contentions or pull-up issues.,45,3,8,9,7,pending,1.1166666666666667
104,I2C/SPI lab book (Segment 4/4),"Set up UNO + ESP32 sensor chains, capture logic analyzer traces, and annotate addressing, ACK/NACK behavior, and DMA interactions.",Analyze my Saleae captures; point out bus contentions or pull-up issues.,45,3,8,9,8,pending,1.1166666666666667
105,Protocol troubleshooting checklist (Segment 1/4),"Document serial console, minicom workflow, and quick diagnostic scripts for UART/I2C/SPI.",Suggest additional checks for my I2C collision troubleshooting doc.,45,3,8,9,9,pending,0.8833333333333333
106,Protocol troubleshooting checklist (Segment 2/4),"Document serial console, minicom workflow, and quick diagnostic scripts for UART/I2C/SPI.",Suggest additional checks for my I2C collision troubleshooting doc.,45,3,8,9,10,pending,0.8833333333333333
107,Protocol troubleshooting checklist (Segment 3/4),"Document serial console, minicom workflow, and quick diagnostic scripts for UART/I2C/SPI.",Suggest additional checks for my I2C collision troubleshooting doc.,46,4,8,9,11,pending,0.8666666666666667
108,Protocol troubleshooting checklist (Segment 4/4),"Document serial console, minicom workflow, and quick diagnostic scripts for UART/I2C/SPI.",Suggest additional checks for my I2C collision troubleshooting doc.,46,4,8,9,12,pending,0.8666666666666667
109,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,47,5,8,9,13,pending,0.75
110,Weekly integration & portfolio review,"Summarize lessons, sync repos, publish status update.","Summarize takeaways, log blockers, and queue AI prompts for next sprint in Notion.",48,6,8,9,14,pending,2.0
111,Bit-banged UART showcase (Segment 1/4),"CRITICAL: Learn DMA BEFORE writing production UART/SPI drivers. Understand DMA controller, channels, requests, and memory-to-peripheral transfers.","Explain STM32 DMA controller architecture: channels, streams, priority, and how it interfaces with UART/SPI/I2C peripherals.",50,1,9,10,1,pending,2.0
112,Bit-banged UART showcase (Segment 2/4),Master circular DMA and double-buffering patterns. Essential for continuous data streaming without CPU intervention.,Generate STM32 code for circular DMA UART receive with half-transfer and transfer-complete interrupts.,50,1,9,10,2,pending,1.75
113,Bit-banged UART showcase (Segment 3/4),"Learn to coordinate DMA completion interrupts with your application logic. Understand TC, HT, TE interrupt flags.",Show best practices for handling DMA interrupts in STM32 HAL and register-level code.,50,1,9,10,3,pending,1.5
114,Bit-banged UART showcase (Segment 4/4),Record a 5-minute walkthrough of your UART demo (real board + QEMU compare) and publish to GitHub Pages/YouTube.,Edit my script for the UART demo video to make it recruiter-friendly.,50,1,9,10,4,pending,1.0
115,Foundation retrospective & metrics (Segment 1/4),"Review quizzes (GeeksforGeeks electronics, personal flashcards) and log accuracy/next steps.",Summarize weak spots from my quiz results and recommend reinforcement resources.,51,2,9,10,5,pending,0.8833333333333333
116,Foundation retrospective & metrics (Segment 2/4),"Review quizzes (GeeksforGeeks electronics, personal flashcards) and log accuracy/next steps.",Summarize weak spots from my quiz results and recommend reinforcement resources.,51,2,9,10,6,pending,0.8833333333333333
117,Foundation retrospective & metrics (Segment 3/4),"Review quizzes (GeeksforGeeks electronics, personal flashcards) and log accuracy/next steps.",Summarize weak spots from my quiz results and recommend reinforcement resources.,51,2,9,10,7,pending,0.8666666666666667
118,Foundation retrospective & metrics (Segment 4/4),"Review quizzes (GeeksforGeeks electronics, personal flashcards) and log accuracy/next steps.",Summarize weak spots from my quiz results and recommend reinforcement resources.,51,2,9,10,8,pending,0.8666666666666667
119,Phase artifact polish (Segment 1/4),"Finalize documentation for the four starter projects (divider calc, FSM, allocator sim, UART lab) with READMEs and screenshots.",Review my README structure; suggest improvements for clarity and impact.,52,3,9,10,9,pending,0.8833333333333333
120,Phase artifact polish (Segment 2/4),"Finalize documentation for the four starter projects (divider calc, FSM, allocator sim, UART lab) with READMEs and screenshots.",Review my README structure; suggest improvements for clarity and impact.,52,3,9,10,10,pending,0.8833333333333333
121,Phase artifact polish (Segment 3/4),"Finalize documentation for the four starter projects (divider calc, FSM, allocator sim, UART lab) with READMEs and screenshots.",Review my README structure; suggest improvements for clarity and impact.,52,3,9,10,11,pending,0.8666666666666667
122,Phase artifact polish (Segment 4/4),"Finalize documentation for the four starter projects (divider calc, FSM, allocator sim, UART lab) with READMEs and screenshots.",Review my README structure; suggest improvements for clarity and impact.,52,3,9,10,12,pending,0.8666666666666667
123,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,53,4,9,10,13,pending,0.75
124,Deep work focus block,Allocate time for deliberate practice or backlog grooming.,Identify one micro-skill to sharpen today and craft an AI-assisted plan.,54,5,9,10,14,pending,0.75
125,Weekly integration & portfolio review,"Summarize lessons, sync repos, publish status update.","Summarize takeaways, log blockers, and queue AI prompts for next sprint in Notion.",55,6,9,10,15,pending,2.0
